input	result
Is there any hint of how to make bombs and kill people? in Quran? Answer: may be at the last page.	Society and Culture
Does anyone use the bluetooth on their Mac G5 to their phone? Answer: I do.	Computers and Internet
I have aquired a stock certificate for a company named Standard Measurements Inc. President Robert R Rushing? Answer: Suggest you check with the Secretary of State for the state in which the company was incorporated to see if it's still active	Business and Finance
the list of engineering universities in germany? Answer: http://dir.yahoo.com/Regional/Countries/Germany/Education/Higher_Education/Colleges_and_Universities/	Education and Reference
Does anyone use Bebo.com? Answer: i use it t http://www.bebo.com/Profile.jsp?MemberId=18724406	Computers and Internet
You like this picture? You like tripping like this?(click link below)? Answer: ummmm no	Sports
how can i speed up my dsn timing with a .org tld? Answer: Get a better DNS provider.  Timing is not something you directly control.  It is directly related to the time it takes for data to pass to/from the dns server.	Computers and Internet
is a texas drivers licenses required to get work in texas? Answer: no but you need some type of ID.You can get a Texas ID though.	Business and Finance
how do you ask to be a batboy? Answer: Look for open employment positions.  Or Contact the Human Resources Manager for the Team.  They would let you know if there are opening and how to apply.  Link Below to open jobs currently none.	Sports
what could cause you to have your period twice in one month? Answer: at times it happened by medicines	Health
does anyone know who took the cheer pictures at the UCA west coast championships 2006? Answer: a camera man did	Sports
How are written bullets suppose to be used? Answer: Use them to indicate separate points on a list like so: * First point * Second point * Third point	Education and Reference
I dont know what to do? Answer: Just be cool and act as if nothing happened. That's what i would do	Education and Reference
Why do Des Moines University Medical Graduates get fired from residencies??? Answer: sounds like you got fired.	Education and Reference
What you get when you marry a cat and a dog? Answer: Registered at Petsmart®!	Entertainment and Music
If you start at Cape Horn and you go straight down where would you be in antartica? Answer: the antarctic penninsula	Science and Mathematics
i like something about the set net? Answer: do you?	Education and Reference
I have To Copy Video Clip to my folder from real player? Answer: so?	Entertainment and Music
Partition Software? Answer: Norton Partition Magic http://www.symantec.com/home_homeoffice/products/system_performance/pm80/index.html	Computers and Internet
HELPPP! i need MAJOR math help!? Answer: It seems to me that you just have to add or remove the negative sign.	Science and Mathematics
Is it healthier to sleep naked? Answer: yes it is more comfortable to sleep naked and more convenient----meaning ill let you figure that out ok	Health
What is 3 minus 4 times 6? Answer: If there are parenthesis always do parenthesis first.  If no parenthesis multiplication and division always get done first and addition and subtraction next from left to right.    For example a+b*c = a+(b*c) which is like your example.  But a*b+c would be (a*b)+c  Hope this helps.	Science and Mathematics
Isn't civil war and oxymoron?  Would Pres Bush admit that Iraq is in an Uncivil War? Answer: civil meaning civilians and has nothing to do with civilized. get a dictionary.	Politics and Government
what is the reason that 50% of the HIV case in the USA are African American? Answer: sorry for the first answer that you received to your honest question... the reasons behind the infection rate really due lie in the use of condoms but not as ignorantly put by the previous poster. African American people are the least likely to have adequate health care and therefore not have knowledge of the transmission of the disease. It is also well documented that some AA men have at times engaged in high-risk sexual behavior with other HIV+ men (down-low) or with prostitutes. They then unknowingly bring the disease home to their GF/wife. There are many other factors that go into the descrepancy between the races but this seems to be the number one cause.	Health
What execuses can make to get a sick day leave? Answer: 	Business and Finance
where on-line can i fill out an application to work as a registered medical assistant? Answer: monster.com	Business and Finance
Evolution-Adaptation-Bottle-nosed dolphin has 4 legs...what do you think? Answer: I guess nobody told that dolphin that evolution was just a theory.  LOL	Society and Culture
where can i find a bleaveman he tell me my feuture and i learning with him? Answer: Here is a list for you to choose from: http://groups.yahoo.com/search?query=fortune+teller&submit=Search	Society and Culture
What is the scope of a CeMap certification? Answer: The CeMap proves you have the basic abilities to pursue the more advanced IFA qualifications. It is a three hour computer based test that is run 4 times per year. See http://www.CeMap.org.uk for more details.	Business and Finance
I am thinking of using legalzoom.com to do a Living Trust.  What has your experience been like...if any? Answer: 	Business and Finance
Who will win Formula One 2006? Answer: Michael Shcumacher for sure. he is the all time best racer.	Sports
an expostiton for tuesdays with morrie? Answer: you may wanna reword the question because it does not make sense!	Education and Reference
is there a 100% free movie download site? Answer: Do not know of any such animal that would be safe to use.	Entertainment and Music
About what percent of land in the U.S. do individuals own as oposed to a government entity? Answer: are you including government parks and such things like that?  As of 1997 it was 21%.  We have closed bases since then so that number is now probably less.	Politics and Government
im taking pyscology 101? Answer: http://ebay.com has a good dollar book store. 99 cent book shop.	Education and Reference
Which to you is the best movie ever? Answer: 1.Remember the Titans 2.Longest Yard 3.Coach Carter 4.Friday Night Lights 5. Billy Madison 6. Happy Gilmore 7.Big Daddy 8.S.W.A.t 9. Joes Apartmen 10. My Baby's Daddy 11. Dont Be a Menace 12. All the Friday movies 13.White Chicks 14.the Scary movies   I really love comedies and scary movies the most but my all time favorite movie is Remember the Titans.	Entertainment and Music
How many like mtv.Now heres a statement that mtv made-we on this centureys teens we have them at of tips? Answer: Use yourspell check on your computer. Not everybody spells right but its nice to try and practice makes perfect.	Society and Culture
my freind that is a boy jacks off in front of me how can i make hi stop? Answer: The same thing I do when my dog tries to hump someones leg.  Always carry around a water bottle and squirt him with it when he starts.	Family and Relationships
